product_id	product_sku	product_name	product_status	spec_key	spec_label	value_text	value_1	value_2	unit	source	source_confidence	ordinal	raw_label	raw_value
6230	BOT-LP-02-00	BOTE OKA	publish	capacity	Capacidad	105 personas	105		persona	post_excerpt	high	4	Capacidad	105 L
6230	BOT-LP-02-00	BOTE OKA	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	length	Largo	5.05 m	5.05		m	post_excerpt	high	1	Largo	5.05 m
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	width	Ancho	0.10 m	0.10		m	post_excerpt	high	2	Ancho	0.10 m
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	height	Alto	2.60 m	2.60		m	post_excerpt	high	3	Alto	2.60 m
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	minimum_area	Área mínima	6.05 m × 1.10 m	6.05	1.10	m	post_excerpt	high	4	Área mínima	6.05 m X 1.10 m
6233	EJE-ID-07-00	EJERCITADOR BARRAS	publish	capacity	Capacidad	4 personas	4		persona	post_excerpt	high	5	Capacidad	4 personas
6236	BOT-00-02-00	BOTE KUMA	publish	length	Largo	0.45 m	0.45		m	post_excerpt	high	1	Largo	0.45 m
6236	BOT-00-02-00	BOTE KUMA	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6236	BOT-00-02-00	BOTE KUMA	publish	height	Alto	1.00 m	1.00		m	post_excerpt	high	3	Alto	1.00 m
6236	BOT-00-02-00	BOTE KUMA	publish	capacity	Capacidad	69 personas	69		persona	post_excerpt	high	4	Capacidad	69 L
6236	BOT-00-02-00	BOTE KUMA	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	length	Largo	1.05 m	1.05		m	post_excerpt	high	1	Largo	1.05 m
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	height	Alto	1.00 m	1.00		m	post_excerpt	high	3	Alto	1.00 m
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	capacity	Capacidad	70 personas	70		persona	post_excerpt	high	4	Capacidad	70 L cada bote
6243	BOT-LP-03-01	BOTE GRIJALVA DOBLE	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6247	BOT-LP-05-00	BOTE ZAIRE	publish	length	Largo	1.00 m	1.00		m	post_excerpt	high	1	Largo	1.00 m
6247	BOT-LP-05-00	BOTE ZAIRE	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6247	BOT-LP-05-00	BOTE ZAIRE	publish	height	Alto	1.50 m	1.50		m	post_excerpt	high	3	Alto	1.50 m
6247	BOT-LP-05-00	BOTE ZAIRE	publish	capacity	Capacidad	70 personas	70		persona	post_excerpt	high	4	Capacidad	70 L cada bote
6247	BOT-LP-05-00	BOTE ZAIRE	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6251	BOT-LP-04-00	BOTE RIN	publish	length	Largo	0.55 m	0.55		m	post_excerpt	high	1	Largo	0.55 m
6251	BOT-LP-04-00	BOTE RIN	publish	width	Ancho	0.40 m	0.40		m	post_excerpt	high	2	Ancho	0.40 m
6251	BOT-LP-04-00	BOTE RIN	publish	height	Alto	1.00 m	1.00		m	post_excerpt	high	3	Alto	1.00 m
6251	BOT-LP-04-00	BOTE RIN	publish	capacity	Capacidad	68 personas	68		persona	post_excerpt	high	4	Capacidad	68 L
6251	BOT-LP-04-00	BOTE RIN	publish	materials	Material	Metal				post_excerpt	high	5	Material	Metal
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish	length	Largo	1.20 m	1.20		m	post_excerpt	high	1	Largo	1.20 m
6254	EJE-ID-11-00	EJERCITADOR AROS LARGO Y 2 POSTES	publish	width	Ancho	0.55 m	0.55		m	post_excerpt	high	2	Ancho	0.55 m
